#t x y z vx vy vz
0.00 -1.38 2.51 -1.45 -1.38 2.95 -0.43
0.07 -1.41 2.67 -1.48 -2.38 6.96 -0.35
0.14 -1.63 2.90 -1.57 -4.21 8.40 -0.92
0.21 -2.21 3.36 -1.60 -3.05 7.98 0.07
0.29 -2.46 3.79 -1.61 -4.32 8.16 -0.19
0.36 -2.63 4.36 -1.57 -6.05 7.14 0.60
0.43 -3.15 4.76 -1.65 -8.93 12.33 -2.31
0.50 -3.46 5.59 -1.82 -4.55 10.46 -2.79
0.57 -3.68 6.12 -2.04 -3.21 6.68 -1.92
0.64 -3.92 6.57 -2.20 -5.26 4.26 -1.81
0.71 -4.46 7.15 -2.29 -7.49 6.91 -0.90
0.79 -4.70 7.92 -2.54 -7.52 9.94 -6.51
0.86 -5.15 8.65 -3.11 -9.07 6.82 -9.64
0.93 -5.92 9.51 -3.69 -10.66 10.84 -9.23
1.00 -6.57 10.25 -4.30 -6.10 10.33 -7.74
1.07 -7.01 11.07 -4.87 -4.01 10.87 -8.51
1.14 -7.48 12.06 -5.62 -5.04 16.88 -10.64
1.21 -8.08 13.19 -6.40 -8.10 15.29 -11.18
1.29 -8.68 14.52 -7.15 -9.21 16.22 -10.91
1.36 -9.25 15.87 -7.94 -11.28 18.14 -11.24
1.43 -9.93 17.08 -8.83 -11.09 14.20 -13.49
1.50 -10.69 18.32 -9.81 -12.99 21.78 -14.82
1.57 -11.50 19.72 -10.85 -11.21 23.82 -15.70
1.64 -12.40 21.41 -11.80 -14.11 26.08 -12.71
1.71 -13.34 23.29 -12.74 -12.05 27.31 -14.22
1.79 -14.36 25.29 -13.75 -14.03 25.61 -15.66
1.86 -15.36 27.23 -14.82 -17.94 27.65 -15.17
1.93 -16.62 29.30 -15.78 -24.18 29.68 -15.03
2.00 -18.26 31.62 -16.88 -22.65 35.02 -15.28
2.07 -19.76 34.21 -17.99 -22.33 39.56 -16.57
2.14 -21.28 37.04 -19.18 -17.88 40.38 -15.55
2.21 -22.65 39.93 -20.44 -19.27 39.09 -19.06
2.29 -24.29 42.83 -21.83 -23.49 38.86 -19.20
2.36 -25.92 45.87 -23.15 -24.86 43.96 -19.27
2.43 -27.65 49.11 -24.49 -23.91 44.05 -19.48
2.50 -29.41 52.18 -25.89 -24.62 49.84 -20.18
2.57 -31.11 55.98 -27.36 -24.87 54.52 -21.94
2.64 -32.90 59.81 -28.79 -25.88 53.79 -19.36
2.71 -34.90 63.66 -30.29 -26.61 55.37 -22.13
2.79 -36.92 67.78 -31.90 -28.15 58.25 -24.09
2.86 -39.09 72.12 -33.61 -31.55 63.66 -23.87
2.93 -41.24 76.88 -35.40 -30.65 66.50 -27.93
3.00 -43.31 81.84 -37.42 -30.86 73.13 -28.38
3.07 -45.44 87.20 -39.46 -33.42 80.38 -28.07
3.14 -47.69 93.04 -41.51 -34.33 82.25 -30.32
3.21 -50.05 99.15 -43.67 -36.64 84.18 -30.28
3.29 -52.75 105.41 -45.74 -40.22 90.23 -30.48
3.36 -55.56 112.31 -47.92 -43.39 97.63 -31.61
3.43 -58.70 119.90 -50.12 -42.95 110.98 -30.48
3.50 -61.70 128.24 -52.27 -40.49 120.64 -30.22
3.57 -64.63 137.40 -54.37 -42.30 132.56 -28.11
3.64 -67.81 147.40 -56.32 -43.68 149.01 -27.65
3.71 -70.89 158.79 -58.08 -43.38 171.05 -21.10
3.79 -73.96 171.81 -59.24 -43.63 191.52 -10.85
3.86 -77.04 186.71 -59.39 -36.40 227.61 10.37
3.93 -78.61 204.40 -57.23 -5.53 264.53 57.20
4.00 -76.78 223.09 -50.34 57.26 245.46 129.54
4.07 -71.18 238.44 -40.12 91.71 182.80 148.36
4.14 -64.92 249.44 -30.17 84.85 125.80 128.77
4.21 -58.92 257.26 -21.90 74.95 89.44 103.55
4.29 -53.82 262.55 -15.17 67.49 65.60 86.09
4.36 -49.14 266.37 -9.70 63.07 44.88 70.92
4.43 -44.63 268.83 -5.01 61.68 26.04 62.86
4.50 -40.40 270.11 -0.92 58.57 8.50 52.79
4.57 -36.39 270.19 2.73 53.29 -6.08 49.85
4.64 -32.52 269.37 6.14 51.85 -17.51 43.33
4.71 -28.94 267.80 9.11 52.06 -28.72 37.67
4.79 -25.41 265.39 11.67 50.89 -40.09 32.73
4.86 -21.88 262.11 14.00 49.72 -51.22 29.93
4.93 -18.54 258.18 16.08 44.86 -60.43 25.90
5.00 -15.49 253.51 17.79 42.87 -70.80 21.37
5.07 -12.64 248.11 19.09 36.99 -80.08 14.60
5.14 -9.85 242.11 19.91 36.85 -88.50 5.16
5.21 -7.41 235.55 19.96 29.93 -92.83 -6.11
5.29 -5.13 228.93 18.96 32.28 -89.50 -19.83
5.36 -2.72 222.39 17.43 36.91 -89.57 -23.52
5.43 -0.19 215.53 15.88 37.32 -98.96 -21.08
5.50 2.32 207.90 14.41 35.77 -113.13 -18.35
5.57 4.72 199.28 13.12 32.34 -129.95 -15.76
5.64 6.73 189.10 11.69 24.22 -151.51 -20.35
5.71 7.98 177.41 9.81 10.91 -174.89 -32.40
5.79 8.14 163.17 6.92 -11.86 -222.75 -49.68
5.86 4.22 144.62 1.56 -171.70 -232.80 -87.65
5.93 -4.43 135.21 -0.78 -81.19 -73.05 -13.94
6.00 -6.94 132.12 -0.14 24.73 -35.43 24.11
6.07 -5.02 131.69 2.05 78.95 -0.04 48.38
6.14 0.17 133.57 5.15 125.47 42.32 72.76
6.21 8.39 138.40 9.76 192.18 137.00 118.53
6.29 15.65 143.16 16.03 27.02 -55.43 1.52
6.36 19.34 140.72 18.84 41.29 -48.46 21.91
6.43 23.73 138.45 21.74 40.93 -26.51 16.78
6.50 26.96 136.65 24.38 39.82 -20.06 19.76
6.57 30.43 134.46 26.47 40.14 -30.65 20.79
6.64 33.99 132.33 28.26 38.94 -22.50 34.31
6.71 37.61 130.12 30.93 37.44 -25.79 34.20
6.79 41.05 127.72 33.45 43.02 -27.72 40.81
6.86 43.76 125.40 35.56 40.62 -31.24 29.02
6.93 46.56 122.80 37.42 42.04 -31.27 24.10
7.00 49.35 120.63 39.07 37.41 -28.81 22.49
7.07 52.41 119.02 40.69 37.99 -23.27 30.24
7.14 55.19 117.37 42.45 33.09 -21.48 20.97
7.21 57.67 115.68 43.76 36.47 -24.66 22.23
7.29 60.28 114.02 45.35 32.32 -27.29 21.49
7.36 62.79 112.07 47.03 30.53 -26.07 22.82
7.43 65.25 110.38 48.92 30.32 -24.02 26.97
7.50 67.53 108.65 50.73 29.54 -25.22 24.57
7.57 69.58 106.59 52.53 28.10 -27.91 23.54
7.64 71.50 104.59 54.10 30.75 -25.53 30.24
7.71 73.66 102.95 55.84 28.06 -21.79 25.60
7.79 75.39 101.25 57.13 28.62 -20.98 18.81
7.86 77.24 100.24 58.19 30.18 -16.83 18.87
7.93 79.47 99.19 59.30 32.89 -20.18 18.24
8.00 81.75 97.90 60.60 36.40 -16.89 21.71
8.07 84.30 96.97 62.22 37.31 -17.41 23.04
8.14 86.81 96.00 63.65 37.95 -19.80 22.98
