#t x y z vx vy vz
0.00 -98.45 -120.03 -127.81 -27.69 174.12 92.48
0.10 -100.84 -102.19 -118.09 -20.06 182.63 101.93
0.20 -102.36 -83.49 -107.36 -10.44 191.42 112.65
0.30 -102.79 -63.91 -95.49 1.84 200.24 124.85
0.40 -101.81 -43.47 -82.31 17.75 208.59 138.76
0.50 -99.00 -22.27 -67.65 38.57 215.41 154.42
0.60 -93.78 -0.56 -51.36 65.80 218.63 171.40
0.70 -85.47 21.10 -33.39 100.41 214.66 188.01
0.80 -73.41 41.77 -13.97 140.67 198.73 200.37
0.90 -57.41 60.14 6.21 179.36 168.60 203.10
1.00 -38.12 75.08 26.04 206.52 130.16 193.52
1.10 -16.83 86.23 44.56 219.21 92.90 176.89
1.20 5.19 93.97 61.33 221.21 61.88 158.45
1.30 27.11 98.94 76.30 217.16 37.65 141.02
1.40 48.47 101.78 89.63 210.14 19.02 125.52
1.50 69.07 102.96 101.50 201.88 4.63 112.02
1.60 88.83 102.86 112.12 193.25 -6.61 100.29
1.70 107.73 101.75 121.64 184.69 -15.53 90.07
1.80 125.78 99.84 130.19 176.39 -22.69 81.09
1.90 143.02 97.28 137.90 168.45 -28.51 73.14
2.00 159.49 94.19 144.86 160.89 -33.30 66.05
2.10 175.22 90.66 151.15 153.71 -37.27 59.68
2.20 190.25 86.77 156.83 146.88 -40.58 53.91
2.30 204.61 82.57 161.96 140.39 -43.37 48.65
2.40 218.34 78.12 166.58 134.20 -45.72 43.84
2.50 231.47 73.45 170.74 128.30 -47.70 39.40
2.60 244.02 68.60 174.48 122.66 -49.39 35.30
2.70 256.01 63.58 177.82 117.25 -50.82 31.48
2.80 267.48 58.44 180.79 112.06 -52.03 27.91
2.90 278.44 53.19 183.41 107.07 -53.05 24.58
3.00 288.90 47.84 185.71 102.25 -53.91 21.44
3.10 298.89 42.41 187.71 97.60 -54.62 18.47
3.20 308.43 36.92 189.42 93.10 -55.21 15.67
3.30 317.52 31.38 190.85 88.73 -55.69 13.02
3.40 326.18 25.79 192.03 84.49 -56.06 10.49
3.50 334.42 20.17 192.95 80.37 -56.35 8.08
3.60 342.26 14.52 193.65 76.36 -56.56 5.78
3.70 349.70 8.86 194.12 72.44 -56.69 3.58
3.80 356.75 3.19 194.37 68.61 -56.75 1.47
3.90 363.43 -2.49 194.41 64.86 -56.76 -0.55
4.00 369.73 -8.16 194.26 61.19 -56.70 -2.50
4.10 375.67 -13.82 193.92 57.59 -56.60 -4.38
4.20 381.25 -19.48 193.39 54.05 -56.44 -6.19
4.30 386.48 -25.11 192.68 50.57 -56.24 -7.95
4.40 391.37 -30.72 191.80 47.15 -55.99 -9.64
4.50 395.91 -36.31 190.76 43.78 -55.71 -11.29
4.60 400.12 -41.86 189.55 40.45 -55.38 -12.88
4.70 404.00 -47.38 188.18 37.16 -55.01 -14.43
4.80 407.56 -52.86 186.66 33.91 -54.61 -15.93
4.90 410.79 -58.30 185.00 30.69 -54.18 -17.40
5.00 413.70 -63.70 183.19 27.50 -53.70 -18.82
5.10 416.29 -69.04 181.24 24.34 -53.20 -20.21
5.20 418.57 -74.33 179.15 21.20 -52.66 -21.57
5.30 420.53 -79.57 176.92 18.09 -52.09 -22.89
5.40 422.19 -84.75 174.57 14.99 -51.48 -24.19
5.50 423.53 -89.87 172.09 11.91 -50.85 -25.46
5.60 424.57 -94.92 169.48 8.83 -50.18 -26.70
5.70 425.30 -99.90 166.75 5.77 -49.48 -27.91
5.80 425.72 -104.81 163.90 2.72 -48.74 -29.10
5.90 425.84 -109.65 160.93 -0.34 -47.97 -30.27
6.00 425.65 -114.40 157.85 -3.39 -47.17 -31.41
6.10 425.16 -119.08 154.65 -6.44 -46.33 -32.54
6.20 424.37 -123.67 151.34 -9.50 -45.46 -33.64
6.30 423.26 -128.17 147.92 -12.56 -44.55 -34.72
6.40 421.85 -132.58 144.40 -15.64 -43.60 -35.79
6.50 420.14 -136.89 140.76 -18.72 -42.61 -36.84
6.60 418.11 -141.10 137.03 -21.82 -41.58 -37.87
6.70 415.77 -145.20 133.19 -24.94 -40.51 -38.88
6.80 413.12 -149.20 129.25 -28.08 -39.40 -39.88
6.90 410.15 -153.08 125.22 -31.24 -38.24 -40.86
7.00 406.87 -156.84 121.08 -34.44 -37.03 -41.82
7.10 403.26 -160.48 116.85 -37.66 -35.76 -42.77
