#t x y z vx vy vz
0.00 -377.77 611.47 -284.60 73.02 -72.14 49.54
0.07 -372.42 606.23 -281.09 74.91 -76.63 52.87
0.14 -367.22 600.88 -277.49 73.48 -75.62 50.53
0.21 -361.73 595.35 -273.91 73.06 -77.66 52.32
0.29 -356.48 589.85 -270.41 71.38 -80.14 50.25
0.36 -351.28 584.14 -266.96 71.85 -82.68 48.39
0.43 -346.16 578.31 -263.62 68.75 -81.69 45.38
0.50 -341.29 572.34 -260.26 67.09 -82.74 43.81
0.57 -336.53 566.22 -256.78 65.06 -82.20 44.27
0.64 -331.96 560.22 -253.51 63.82 -84.02 44.63
0.71 -327.76 554.33 -250.35 57.48 -82.55 43.84
0.79 -323.83 548.53 -247.26 52.43 -80.63 43.67
0.86 -320.26 543.01 -244.39 46.86 -76.35 41.71
0.93 -316.79 537.69 -241.54 45.48 -72.23 39.63
1.00 -313.62 532.64 -238.46 45.97 -69.91 43.64
1.07 -310.34 527.69 -235.12 42.26 -65.20 48.63
1.14 -307.19 523.02 -231.55 45.34 -62.33 49.02
1.21 -303.96 518.54 -227.88 48.47 -62.76 54.24
1.29 -300.39 514.02 -223.91 47.63 -61.31 58.77
1.36 -296.83 509.68 -219.79 52.40 -61.15 59.58
1.43 -292.96 505.27 -215.52 54.80 -62.49 62.58
1.50 -288.93 500.85 -211.06 59.10 -62.83 62.79
1.57 -284.72 496.35 -206.50 60.43 -63.56 63.43
1.64 -280.22 491.72 -201.83 63.58 -65.11 66.03
1.71 -275.57 487.01 -197.07 69.99 -68.24 66.88
1.79 -270.59 482.12 -192.13 73.81 -69.13 68.16
1.86 -265.43 477.27 -187.32 76.77 -71.90 69.47
1.93 -260.03 472.15 -182.15 77.99 -70.88 70.99
2.00 -254.42 467.03 -177.26 79.31 -73.35 71.50
2.07 -248.72 461.65 -172.15 81.62 -77.86 72.47
2.14 -242.65 456.01 -167.02 84.15 -81.33 75.25
2.21 -236.55 450.15 -161.67 85.62 -82.00 73.44
2.29 -230.24 444.16 -156.33 88.84 -83.38 71.72
2.36 -224.00 438.14 -151.06 92.43 -87.66 71.40
2.43 -217.60 431.70 -145.70 89.70 -91.72 71.35
2.50 -211.17 425.09 -140.46 91.21 -94.63 73.15
2.57 -204.66 418.26 -135.17 92.86 -96.49 73.94
2.64 -198.11 411.24 -129.78 91.25 -96.54 73.57
2.71 -191.41 404.20 -124.48 92.87 -98.84 73.10
2.79 -184.53 396.96 -119.11 93.98 -102.04 76.98
2.86 -177.80 389.60 -113.57 96.50 -104.21 77.35
