#t x y z vx vy vz
0.00 -98.45 -120.03 -127.81 -27.69 174.12 92.48
0.10 -100.82 -102.28 -118.14 -19.77 180.82 100.97
0.20 -102.31 -83.85 -107.56 -9.98 187.82 110.67
0.30 -102.69 -64.72 -95.93 2.32 194.88 121.80
0.40 -101.68 -44.89 -83.11 18.01 201.55 134.54
0.50 -98.86 -24.47 -68.94 38.28 206.90 148.99
0.60 -93.72 -3.67 -53.25 64.60 209.12 164.85
0.70 -85.58 17.03 -35.96 98.19 204.99 180.80
0.80 -73.76 36.77 -17.25 138.32 189.73 193.50
0.90 -57.88 54.23 2.30 179.18 159.51 197.40
1.00 -38.43 68.10 21.55 209.92 117.85 187.65
1.10 -16.71 77.75 39.35 224.35 75.07 168.41
1.20 5.76 83.43 55.07 225.18 38.61 145.87
1.30 27.92 85.87 68.56 217.85 10.18 123.99
1.40 49.13 85.81 79.97 206.44 -11.33 104.30
1.50 69.11 83.87 89.54 193.24 -27.50 87.00
1.60 87.75 80.51 97.48 179.46 -39.72 71.87
1.70 105.01 76.07 104.01 165.66 -48.98 58.60
1.80 120.89 70.83 109.28 152.12 -56.01 46.88
1.90 135.45 64.96 113.45 138.95 -61.31 36.43
2.00 148.70 58.63 116.62 126.17 -65.26 27.06
2.10 160.70 51.96 118.90 113.79 -68.11 18.59
2.20 171.48 45.05 120.38 101.79 -70.05 10.90
2.30 181.08 37.99 121.12 90.14 -71.22 3.87
2.40 189.53 30.84 121.18 78.81 -71.75 -2.57
2.50 196.86 23.67 120.63 67.78 -71.70 -8.49
2.60 203.10 16.53 119.51 57.02 -71.14 -13.94
2.70 208.27 9.46 117.86 46.52 -70.13 -18.97
2.80 212.41 2.52 115.73 36.26 -68.71 -23.61
2.90 215.54 -4.26 113.16 26.24 -66.93 -27.90
3.00 217.67 -10.85 110.17 16.43 -64.82 -31.86
3.10 218.83 -17.21 106.80 6.83 -62.42 -35.54
3.20 219.05 -23.32 103.07 -2.59 -59.78 -38.96
3.30 218.32 -29.16 99.02 -11.86 -56.93 -42.17
3.40 216.68 -34.70 94.65 -21.03 -53.90 -45.21
3.50 214.12 -39.93 89.98 -30.16 -50.70 -48.13
3.60 210.64 -44.83 85.03 -39.34 -47.33 -50.96
3.70 206.24 -49.38 79.79 -48.65 -43.77 -53.75
3.80 200.90 -53.57 74.28 -58.20 -39.99 -56.52
3.90 194.59 -57.37 68.49 -68.09 -35.93 -59.31
4.00 187.26 -60.74 62.42 -78.46 -31.51 -62.12
4.10 178.86 -63.64 56.06 -89.45 -26.63 -64.99
4.20 169.33 -66.03 49.42 -101.24 -21.15 -67.91
4.30 158.56 -67.83 42.48 -114.06 -14.87 -70.88
4.40 146.45 -68.95 35.24 -128.19 -7.52 -73.89
4.50 132.84 -69.27 27.70 -144.01 1.30 -76.90
4.60 117.54 -68.59 19.86 -162.06 12.22 -79.78
4.70 100.28 -66.66 11.76 -183.09 26.30 -82.31
4.80 80.71 -63.08 3.45 -208.23 45.39 -83.93
4.90 58.35 -57.15 -4.88 -239.00 73.22 -82.62
5.00 32.58 -47.59 -12.69 -276.42 117.95 -73.63
5.10 3.21 -31.78 -18.33 -311.11 198.34 -39.16
5.20 -25.08 -7.14 -17.43 -254.52 294.33 57.14
5.30 -45.26 21.17 -9.56 -149.17 271.95 100.27
5.40 -57.21 46.35 0.74 -89.77 231.67 105.70
5.50 -64.38 67.77 11.07 -53.74 196.71 101.01
5.60 -68.54 85.97 20.83 -29.30 167.21 94.10
5.70 -70.57 101.41 29.86 -11.38 141.71 86.53
5.80 -71.02 114.45 38.12 2.46 119.06 78.77
5.90 -70.22 125.33 45.61 13.52 98.49 70.96
6.00 -68.41 134.23 52.31 22.57 79.45 63.13
6.10 -65.78 141.28 58.23 30.06 61.57 55.28
6.20 -62.46 146.58 63.37 36.28 44.56 47.35
6.30 -58.58 150.23 67.70 41.42 28.26 39.33
6.40 -54.23 152.27 71.23 45.59 12.56 31.22
6.50 -49.50 152.76 73.94 48.93 -2.61 23.03
6.60 -44.47 151.77 75.83 51.63 -17.33 14.81
6.70 -39.20 149.31 76.90 53.94 -31.81 6.55
6.80 -33.70 145.40 77.13 56.03 -46.39 -1.88
6.90 -28.00 140.01 76.51 57.97 -61.43 -10.69
7.00 -22.11 133.07 74.96 59.76 -77.33 -20.14
7.10 -16.06 124.48 72.43 61.31 -94.55 -30.58
7.20 -9.87 114.06 68.78 62.48 -113.68 -42.44
7.30 -3.59 101.60 63.83 63.00 -135.55 -56.43
7.40 2.67 86.75 57.33 62.32 -161.47 -73.68
7.50 8.74 68.99 48.83 59.13 -193.69 -96.34
7.60 14.19 47.48 37.55 49.79 -236.53 -129.13
7.70 17.66 20.73 21.82 19.58 -298.51 -185.54
7.80 11.47 -11.57 -2.90 -143.35 -347.47 -308.87
7.90 -3.67 -40.58 -29.88 -159.57 -232.85 -230.72
8.00 -19.04 -61.35 -50.90 -147.73 -182.53 -189.80
8.10 -33.21 -78.06 -68.54 -135.62 -151.67 -162.85
8.20 -46.23 -92.13 -83.82 -124.84 -129.68 -142.81
8.30 -58.23 -104.25 -97.30 -115.27 -112.63 -126.80
8.40 -69.33 -114.81 -109.31 -106.65 -98.69 -113.38
8.50 -79.60 -124.09 -120.07 -98.76 -86.86 -101.77
8.60 -89.11 -132.26 -129.73 -91.45 -76.53 -91.45
8.70 -97.91 -139.45 -138.41 -84.58 -67.32 -82.12
8.80 -106.04 -145.77 -146.19 -78.06 -58.98 -73.55
8.90 -113.54 -151.28 -153.15 -71.82 -51.32 -65.58
9.00 -120.42 -156.06 -159.33 -65.79 -44.22 -58.09
9.10 -126.70 -160.15 -164.78 -59.94 -37.57 -50.98
9.20 -132.41 -163.59 -169.54 -54.21 -31.29 -44.21
9.30 -137.55 -166.42 -173.64 -48.57 -25.35 -37.69
9.40 -142.13 -168.67 -177.09 -43.00 -19.68 -31.41
9.50 -146.15 -170.37 -179.93 -37.44 -14.27 -25.31
9.60 -149.62 -171.54 -182.16 -31.88 -9.10 -19.38
9.70 -152.52 -172.21 -183.81 -26.27 -4.18 -13.61
9.80 -154.87 -172.39 -184.89 -20.58 0.45 -8.01
9.90 -156.63 -172.14 -185.43 -14.78 4.69 -2.65
10.00 -157.82 -171.48 -185.45 -8.96 8.32 2.29
10.10 -158.45 -170.51 -185.01 -3.56 11.17 6.50
