#snap t x y z vx vy vz
0.00 0.00 -1.96 3.05 -1.47 -1.38 2.95 -0.43
5.00 0.07 -1.78 3.10 -1.48 -2.38 6.96 -0.35
10.00 0.14 -1.84 3.09 -1.55 -4.21 8.40 -0.92
15.00 0.21 -2.20 3.37 -1.59 -3.05 7.98 0.07
20.00 0.29 -2.48 3.67 -1.57 -4.32 8.16 -0.19
25.00 0.36 -2.78 4.09 -1.53 -6.05 7.14 0.60
30.00 0.43 -3.26 4.72 -1.63 -8.93 12.33 -2.31
35.00 0.50 -3.59 5.49 -1.82 -4.55 10.46 -2.79
40.00 0.57 -3.81 6.12 -2.00 -3.21 6.68 -1.92
45.00 0.64 -3.92 6.60 -2.16 -5.26 4.26 -1.81
50.00 0.71 -4.18 7.07 -2.22 -7.49 6.91 -0.90
55.00 0.79 -4.47 7.53 -2.56 -7.52 9.94 -6.51
60.00 0.86 -5.16 8.25 -3.19 -9.07 6.82 -9.64
65.00 0.93 -5.98 9.20 -3.70 -10.66 10.84 -9.23
70.00 1.00 -6.78 10.16 -4.30 -6.10 10.33 -7.74
75.00 1.07 -7.06 11.03 -4.85 -4.01 10.87 -8.51
80.00 1.14 -7.43 12.22 -5.65 -5.04 16.88 -10.64
85.00 1.21 -7.73 13.33 -6.44 -8.10 15.29 -11.18
90.00 1.29 -8.32 14.38 -7.18 -9.21 16.22 -10.91
95.00 1.36 -9.11 15.56 -7.95 -11.28 18.14 -11.24
100.00 1.43 -10.03 16.81 -8.87 -11.09 14.20 -13.49
105.00 1.50 -10.92 18.13 -9.89 -12.99 21.78 -14.82
110.00 1.57 -11.61 19.83 -10.91 -11.21 23.82 -15.70
115.00 1.64 -12.24 21.50 -11.82 -14.11 26.08 -12.71
120.00 1.71 -13.17 23.33 -12.76 -12.05 27.31 -14.22
125.00 1.79 -14.14 25.09 -13.78 -14.03 25.61 -15.66
130.00 1.86 -15.27 27.00 -14.87 -17.94 27.65 -15.17
135.00 1.93 -16.64 29.20 -15.81 -24.18 29.68 -15.03
140.00 2.00 -18.27 31.71 -16.93 -22.65 35.02 -15.28
145.00 2.07 -19.80 34.27 -18.06 -22.33 39.56 -16.57
150.00 2.14 -21.30 37.21 -19.24 -17.88 40.38 -15.55
155.00 2.21 -22.59 40.06 -20.46 -19.27 39.09 -19.06
160.00 2.29 -24.15 42.95 -21.86 -23.49 38.86 -19.20
165.00 2.36 -25.95 45.93 -23.15 -24.86 43.96 -19.27
170.00 2.43 -27.65 49.07 -24.49 -23.91 44.05 -19.48
175.00 2.50 -29.43 52.22 -25.90 -24.62 49.84 -20.18
180.00 2.57 -31.22 55.89 -27.41 -24.87 54.52 -21.94
185.00 2.64 -33.12 59.79 -28.79 -25.88 53.79 -19.36
190.00 2.71 -34.96 63.72 -30.28 -26.61 55.37 -22.13
195.00 2.79 -36.91 67.80 -31.91 -28.15 58.25 -24.09
200.00 2.86 -38.94 72.01 -33.61 -31.55 63.66 -23.87
205.00 2.93 -41.09 76.54 -35.40 -30.65 66.50 -27.93
